symbol,unlock_date,category,unlock_pct_supply,day_offset,date,open,close,volume,quote_volume
ZK,2025-06-17,VC,17.5,-1,2025-06-16,0.0499,0.0486,71109635.0,3604213.78274
ZK,2025-06-17,VC,17.5,0,2025-06-17,0.0486,0.0477,86429954.8,4199456.89936
ZK,2025-06-17,VC,17.5,1,2025-06-18,0.0478,0.046,118557149.3,5358182.58276
ZK,2025-06-17,VC,17.5,2,2025-06-19,0.0461,0.0453,46656098.7,2139506.88804
ZK,2025-06-17,VC,17.5,3,2025-06-20,0.0453,0.0434,93199392.2,4164820.25638
ZK,2025-06-17,VC,17.5,4,2025-06-21,0.0433,0.0408,71300149.4,3012046.77769
ZK,2025-06-17,VC,17.5,5,2025-06-22,0.0409,0.0387,149941606.7,5836597.51976
ZK,2025-06-17,VC,17.5,6,2025-06-23,0.0388,0.0448,115490066.9,4777931.59862
ZK,2025-06-17,VC,17.5,7,2025-06-24,0.0448,0.0463,110124464.7,4984472.85618
ENA,2025-04-05,OTC,1.2,-7,2025-03-29,0.3854,0.3641,86755363.21,32546833.267655
ENA,2025-04-05,OTC,1.2,-6,2025-03-30,0.3642,0.3698,71102651.24,26121392.920497
ENA,2025-04-05,OTC,1.2,-5,2025-03-31,0.3699,0.3437,120767976.99,42861730.199367
ENA,2025-04-05,OTC,1.2,-4,2025-04-01,0.3437,0.3692,143639680.19,51623151.960696
ENA,2025-04-05,OTC,1.2,-3,2025-04-02,0.3692,0.3309,184158409.16,66599051.30479
ENA,2025-04-05,OTC,1.2,-2,2025-04-03,0.331,0.3146,209948444.23,66483464.454791
ENA,2025-04-05,OTC,1.2,-1,2025-04-04,0.3147,0.3187,168475772.02,51733143.521289
ENA,2025-04-05,OTC,1.2,0,2025-04-05,0.3186,0.3199,107248724.41,34540164.799389
ENA,2025-04-05,OTC,1.2,1,2025-04-06,0.3199,0.2763,146639945.81,42757532.23675
ENA,2025-04-05,OTC,1.2,2,2025-04-07,0.2764,0.2923,252215164.22,70554361.709093
ENA,2025-04-05,OTC,1.2,3,2025-04-08,0.2923,0.2753,109182582.68,31823642.342925
ENA,2025-04-05,OTC,1.2,4,2025-04-09,0.2754,0.3165,228176315.98,67532797.173557
ENA,2025-04-05,OTC,1.2,5,2025-04-10,0.3166,0.3025,189675194.28,57713203.412953
ENA,2025-04-05,OTC,1.2,6,2025-04-11,0.3025,0.3156,125774730.9,39614845.249274
ENA,2025-04-05,OTC,1.2,7,2025-04-12,0.3157,0.3423,117356804.18,38302954.256762
EIGEN,2025-09-30,VC,5.1368,-7,2025-09-23,1.813,1.662,16997068.36,29487052.86774
EIGEN,2025-09-30,VC,5.1368,-6,2025-09-24,1.662,1.794,20852692.88,37001888.91731
EIGEN,2025-09-30,VC,5.1368,-5,2025-09-25,1.795,1.707,25757991.85,44171447.10762
EIGEN,2025-09-30,VC,5.1368,-4,2025-09-26,1.706,1.76,19196572.57,32781041.78639
EIGEN,2025-09-30,VC,5.1368,-3,2025-09-27,1.759,1.888,15936219.24,28794441.32649
EIGEN,2025-09-30,VC,5.1368,-2,2025-09-28,1.889,1.889,13620316.55,25150183.50361
EIGEN,2025-09-30,VC,5.1368,-1,2025-09-29,1.89,1.647,16072650.03,27710037.51908
EIGEN,2025-09-30,VC,5.1368,0,2025-09-30,1.648,1.449,17784695.64,26656555.5427
EIGEN,2025-09-30,VC,5.1368,1,2025-10-01,1.45,1.517,22070978.39,32282242.08652
EIGEN,2025-09-30,VC,5.1368,2,2025-10-02,1.517,1.781,32132067.3,54164175.98907
EIGEN,2025-09-30,VC,5.1368,3,2025-10-03,1.78,1.91,22091857.14,40054410.96808
EIGEN,2025-09-30,VC,5.1368,4,2025-10-04,1.911,1.971,16000024.41,30357836.47948
EIGEN,2025-09-30,VC,5.1368,5,2025-10-05,1.971,1.865,13150668.33,25714629.69267
EIGEN,2025-09-30,VC,5.1368,6,2025-10-06,1.865,1.942,23830948.52,47453780.4571
EIGEN,2025-09-30,VC,5.1368,7,2025-10-07,1.943,1.968,16996101.58,33349431.77116
IMX,2024-01-24,VC,1.8166,-7,2024-01-17,2.0853,2.0477,2456335.61,5096445.631866
IMX,2024-01-24,VC,1.8166,-6,2024-01-18,2.0473,1.935,3914450.6,7730308.440551
IMX,2024-01-24,VC,1.8166,-5,2024-01-19,1.9354,1.9374,3004281.04,5654118.698033
IMX,2024-01-24,VC,1.8166,-4,2024-01-20,1.9373,1.9192,2025863.73,3857776.898594
IMX,2024-01-24,VC,1.8166,-3,2024-01-21,1.9183,1.9174,1344582.06,2608011.79022
IMX,2024-01-24,VC,1.8166,-2,2024-01-22,1.9185,1.7803,3611498.99,6632417.110719
IMX,2024-01-24,VC,1.8166,-1,2024-01-23,1.7813,1.8639,4954295.3,8767787.249258
IMX,2024-01-24,VC,1.8166,0,2024-01-24,1.8637,1.8608,3141167.09,5782942.107627
IMX,2024-01-24,VC,1.8166,1,2024-01-25,1.8606,1.8259,2947242.06,5407729.782873
IMX,2024-01-24,VC,1.8166,2,2024-01-26,1.8256,1.9014,3622612.06,6769879.433659
IMX,2024-01-24,VC,1.8166,3,2024-01-27,1.9015,1.9391,2599200.31,5003702.014924
IMX,2024-01-24,VC,1.8166,4,2024-01-28,1.9394,1.906,3409259.78,6623553.121006
IMX,2024-01-24,VC,1.8166,5,2024-01-29,1.9057,2.0307,3769452.16,7471225.135271
IMX,2024-01-24,VC,1.8166,6,2024-01-30,2.0306,2.0066,4077200.09,8287866.953005
IMX,2024-01-24,VC,1.8166,7,2024-01-31,2.0067,1.9325,3396504.38,6740884.771826
AVAX,2024-01-01,VC,1.3194,-7,2023-12-25,47.68,48.18,4146186.27,197044393.3015
AVAX,2024-01-01,VC,1.3194,-6,2023-12-26,48.18,44.41,4773394.73,215972199.4733
AVAX,2024-01-01,VC,1.3194,-5,2023-12-27,44.41,42.39,4199478.73,181963479.0321
AVAX,2024-01-01,VC,1.3194,-4,2023-12-28,42.4,39.8,5049991.19,206543476.7554
AVAX,2024-01-01,VC,1.3194,-3,2023-12-29,39.8,40.18,5054515.59,205177566.4711
AVAX,2024-01-01,VC,1.3194,-2,2023-12-30,40.18,39.33,2217519.52,87475649.3759
AVAX,2024-01-01,VC,1.3194,-1,2023-12-31,39.33,38.55,2208181.77,87260271.4329
AVAX,2024-01-01,VC,1.3194,0,2024-01-01,38.57,41.94,2734126.31,109336068.2752
AVAX,2024-01-01,VC,1.3194,1,2024-01-02,41.95,40.61,3642001.26,152881602.4529
AVAX,2024-01-01,VC,1.3194,2,2024-01-03,40.61,36.8,6289630.67,235808452.7971
AVAX,2024-01-01,VC,1.3194,3,2024-01-04,36.79,38.72,3541865.71,134629036.8137
AVAX,2024-01-01,VC,1.3194,4,2024-01-05,38.72,36.46,3385914.09,123863570.2348
AVAX,2024-01-01,VC,1.3194,5,2024-01-06,36.46,34.61,2367153.87,82136611.3957
AVAX,2024-01-01,VC,1.3194,6,2024-01-07,34.62,33.64,2727132.92,94797296.6874
AVAX,2024-01-01,VC,1.3194,7,2024-01-08,33.65,36.08,5416852.99,183891701.8309
SEI,2024-08-15,VC,9.0,-7,2024-08-08,0.2359,0.2915,90637301.8,23810315.66099
SEI,2024-08-15,VC,9.0,-6,2024-08-09,0.2915,0.2893,66493474.0,19311852.02267
SEI,2024-08-15,VC,9.0,-5,2024-08-10,0.2893,0.2987,65994659.8,19669118.15959
SEI,2024-08-15,VC,9.0,-4,2024-08-11,0.2987,0.2681,59446575.3,16751545.21108
SEI,2024-08-15,VC,9.0,-3,2024-08-12,0.2681,0.3046,152911027.0,45190871.53783
SEI,2024-08-15,VC,9.0,-2,2024-08-13,0.3046,0.2942,74185458.1,21806499.91376
SEI,2024-08-15,VC,9.0,-1,2024-08-14,0.2941,0.2823,73533329.3,21203071.69673
SEI,2024-08-15,VC,9.0,0,2024-08-15,0.2822,0.2752,66397528.6,18187919.7116
SEI,2024-08-15,VC,9.0,1,2024-08-16,0.2753,0.2671,60718960.7,16322792.69695
SEI,2024-08-15,VC,9.0,2,2024-08-17,0.2671,0.2703,33206468.2,8821928.50689
SEI,2024-08-15,VC,9.0,3,2024-08-18,0.2702,0.2666,30967171.7,8444701.94256
SEI,2024-08-15,VC,9.0,4,2024-08-19,0.2665,0.2669,46803541.3,12251223.92541
SEI,2024-08-15,VC,9.0,5,2024-08-20,0.2668,0.2648,54999220.0,14929054.11472
SEI,2024-08-15,VC,9.0,6,2024-08-21,0.2647,0.28,58853359.3,16141130.69378
SEI,2024-08-15,VC,9.0,7,2024-08-22,0.2801,0.2847,62653199.1,17938978.12158
TIA,2024-10-30,VC,17.5586,-7,2024-10-23,5.789,5.974,8012561.81,47125951.68719
TIA,2024-10-30,VC,17.5586,-6,2024-10-24,5.975,6.135,7195735.51,43646414.24145
TIA,2024-10-30,VC,17.5586,-5,2024-10-25,6.136,5.299,8528242.71,49020860.96677
TIA,2024-10-30,VC,17.5586,-4,2024-10-26,5.299,5.395,5346014.26,28405603.47485
TIA,2024-10-30,VC,17.5586,-3,2024-10-27,5.396,5.129,3406707.9,17909150.31778
TIA,2024-10-30,VC,17.5586,-2,2024-10-28,5.13,5.088,6999642.84,35188221.85761
TIA,2024-10-30,VC,17.5586,-1,2024-10-29,5.088,5.276,10129236.89,52188301.09303
TIA,2024-10-30,VC,17.5586,0,2024-10-30,5.277,4.764,13804819.4,66893356.10719
TIA,2024-10-30,VC,17.5586,1,2024-10-31,4.764,4.867,18167468.37,85724450.86017
TIA,2024-10-30,VC,17.5586,2,2024-11-01,4.866,4.552,12569562.52,58966395.30715
TIA,2024-10-30,VC,17.5586,3,2024-11-02,4.553,4.681,7785288.47,35996234.87752
TIA,2024-10-30,VC,17.5586,4,2024-11-03,4.683,4.556,11876029.11,53862688.55902
TIA,2024-10-30,VC,17.5586,5,2024-11-04,4.557,4.222,6801911.43,30035107.88986
TIA,2024-10-30,VC,17.5586,6,2024-11-05,4.223,4.226,9259207.75,40004120.62319
TIA,2024-10-30,VC,17.5586,7,2024-11-06,4.226,5.115,20891201.86,98144302.37187
ALT,2024-03-25,VC,5.184,-7,2024-03-18,0.54716,0.47951,88181341.0,44358936.66236
ALT,2024-03-25,VC,5.184,-6,2024-03-19,0.47946,0.44983,121984306.0,54472433.34741
ALT,2024-03-25,VC,5.184,-5,2024-03-20,0.44984,0.47063,124360566.0,55517874.88615
ALT,2024-03-25,VC,5.184,-4,2024-03-21,0.47062,0.5156,162603281.0,80978283.51209
ALT,2024-03-25,VC,5.184,-3,2024-03-22,0.51559,0.48807,129143982.0,63597277.77945
ALT,2024-03-25,VC,5.184,-2,2024-03-23,0.48807,0.4994,85812522.0,42353029.93276
ALT,2024-03-25,VC,5.184,-1,2024-03-24,0.4993,0.50057,73963763.0,36788366.59792
ALT,2024-03-25,VC,5.184,0,2024-03-25,0.50072,0.59584,188196648.0,103963130.26055
ALT,2024-03-25,VC,5.184,1,2024-03-26,0.59575,0.6375,218322872.0,137808012.86615
ALT,2024-03-25,VC,5.184,2,2024-03-27,0.63771,0.60614,214958355.0,134938217.58337
ALT,2024-03-25,VC,5.184,3,2024-03-28,0.60602,0.66544,157017449.0,97115794.4181
ALT,2024-03-25,VC,5.184,4,2024-03-29,0.6658,0.6064,125375464.0,78800424.31794
ALT,2024-03-25,VC,5.184,5,2024-03-30,0.6064,0.6004,84623337.0,52005368.08051
ALT,2024-03-25,VC,5.184,6,2024-03-31,0.6004,0.61464,67271422.0,40969076.44554
ALT,2024-03-25,VC,5.184,7,2024-04-01,0.61464,0.57177,119669521.0,69224574.43085
WLD,2024-03-24,OTC,1.017,-7,2024-03-17,8.438,9.553,28050185.6,259270542.1176
WLD,2024-03-24,OTC,1.017,-6,2024-03-18,9.556,8.768,19509071.8,178750235.8975
WLD,2024-03-24,OTC,1.017,-5,2024-03-19,8.766,7.5,29425079.2,233869759.8514
WLD,2024-03-24,OTC,1.017,-4,2024-03-20,7.501,8.353,20473745.3,160433732.6802
WLD,2024-03-24,OTC,1.017,-3,2024-03-21,8.352,8.054,12173648.8,99380745.4378
WLD,2024-03-24,OTC,1.017,-2,2024-03-22,8.053,7.994,14811145.3,118309501.5303
WLD,2024-03-24,OTC,1.017,-1,2024-03-23,7.994,8.454,16422514.9,140962602.4348
WLD,2024-03-24,OTC,1.017,0,2024-03-24,8.454,8.461,11911188.7,98927446.4762
WLD,2024-03-24,OTC,1.017,1,2024-03-25,8.46,8.658,13273434.8,114386544.5902
WLD,2024-03-24,OTC,1.017,2,2024-03-26,8.659,8.744,15386945.8,138591436.8834
WLD,2024-03-24,OTC,1.017,3,2024-03-27,8.744,8.424,19690438.3,173459651.0517
WLD,2024-03-24,OTC,1.017,4,2024-03-28,8.424,8.413,10289659.5,86714194.9752
